[2026-03-28T21:54:43.363Z] GET http://localhost:9123/factory.html → 200 (12ms, 36440B)
[2026-03-28T21:54:43.381Z] GET https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&family=JetBrains+Mono:wght@400;700&display=swap → 200 (46ms, 8044B)
[2026-03-28T21:54:43.455Z] GET https://fonts.gstatic.com/s/vt323/v18/pxiKyp0ihIEF2isfFJU.woff2 → 200 (34ms, 17936B)
[2026-03-28T21:54:43.455Z] GET https://fonts.gstatic.com/s/pressstart2p/v16/e3t4euO8T-267oIAQAu6jDQyK3nVivM.woff2 → 200 (33ms, 12512B)
[2026-03-28T21:58:10.774Z] GET http://localhost:9123/factory.html → 200 (2ms, 31651B)
[2026-03-28T21:58:10.785Z] GET https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&family=JetBrains+Mono:wght@400;700&display=swap → 200 (1ms, 8044B)
[2026-03-28T21:58:10.788Z] GET https://fonts.gstatic.com/s/pressstart2p/v16/e3t4euO8T-267oIAQAu6jDQyK3nVivM.woff2 → 200 (1ms, ?B)
[2026-03-28T21:58:10.789Z] GET https://fonts.gstatic.com/s/vt323/v18/pxiKyp0ihIEF2isfFJU.woff2 → 200 (?ms, ?B)
[2026-03-28T22:01:11.751Z] GET http://localhost:9123/factory.html → 200 (16ms, 35416B)
[2026-03-28T22:01:11.773Z] GET https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&family=JetBrains+Mono:wght@400;700&display=swap → 200 (?ms, 8044B)
[2026-03-28T22:01:11.780Z] GET https://fonts.gstatic.com/s/pressstart2p/v16/e3t4euO8T-267oIAQAu6jDQyK3nVivM.woff2 → 200 (?ms, ?B)
[2026-03-28T22:01:11.780Z] GET https://fonts.gstatic.com/s/vt323/v18/pxiKyp0ihIEF2isfFJU.woff2 → 200 (?ms, ?B)
[2026-03-28T22:02:02.726Z] GET http://localhost:9123/factory.html → 200 (2ms, 37235B)
[2026-03-28T22:02:02.734Z] GET https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&family=JetBrains+Mono:wght@400;700&display=swap → 200 (?ms, 8044B)
[2026-03-28T22:02:02.742Z] GET https://fonts.gstatic.com/s/pressstart2p/v16/e3t4euO8T-267oIAQAu6jDQyK3nVivM.woff2 → 200 (?ms, ?B)
[2026-03-28T22:02:02.743Z] GET https://fonts.gstatic.com/s/vt323/v18/pxiKyp0ihIEF2isfFJU.woff2 → 200 (1ms, ?B)
[2026-03-28T22:14:31.011Z] GET http://localhost:9123/factory.html → 200 (4ms, 38246B)
[2026-03-28T22:14:31.020Z] GET https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&family=JetBrains+Mono:wght@400;700&display=swap → 200 (4ms, 8044B)
[2026-03-28T22:14:31.025Z] GET https://fonts.gstatic.com/s/pressstart2p/v16/e3t4euO8T-267oIAQAu6jDQyK3nVivM.woff2 → 200 (?ms, ?B)
[2026-03-28T22:14:31.026Z] GET https://fonts.gstatic.com/s/vt323/v18/pxiKyp0ihIEF2isfFJU.woff2 → 200 (?ms, ?B)
[2026-03-28T22:18:00.432Z] GET http://localhost:8847/factory.html → pending (?ms, ?B)
[2026-03-28T22:18:23.171Z] GET http://localhost:8847/factory.html → 200 (6ms, 38246B)
[2026-03-28T22:18:23.200Z] GET https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&family=JetBrains+Mono:wght@400;700&display=swap → 200 (?ms, 8044B)
[2026-03-28T22:18:23.217Z] GET https://fonts.gstatic.com/s/vt323/v18/pxiKyp0ihIEF2isfFJU.woff2 → 200 (1ms, 17936B)
[2026-03-28T22:18:23.217Z] GET https://fonts.gstatic.com/s/pressstart2p/v16/e3t4euO8T-267oIAQAu6jDQyK3nVivM.woff2 → 200 (1ms, 12512B)
[2026-03-28T22:25:21.085Z] GET http://localhost:8847/factory.html → 200 (3ms, 38960B)
[2026-03-28T22:25:21.097Z] GET https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&display=swap → 200 (26ms, 3072B)
[2026-03-28T22:25:21.129Z] GET https://fonts.gstatic.com/s/pressstart2p/v16/e3t4euO8T-267oIAQAu6jDQyK3nVivM.woff2 → 200 (?ms, ?B)
[2026-03-28T22:25:21.129Z] GET https://fonts.gstatic.com/s/vt323/v18/pxiKyp0ihIEF2isfFJU.woff2 → 200 (?ms, ?B)
[2026-03-28T22:38:09.124Z] GET https://0xsmcai.github.io/factory-page-redesign/factory.html → pending (?ms, ?B)
[2026-03-28T22:38:13.322Z] GET https://0xsmcai.github.io/factory-page-redesign/ → 404 (163ms, 9379B)
[2026-03-28T22:38:34.159Z] GET http://localhost:9123/factory.html → 200 (2ms, 40591B)
[2026-03-28T22:38:34.186Z] GET https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&display=swap → 200 (?ms, 3072B)
[2026-03-28T22:38:34.194Z] GET https://fonts.gstatic.com/s/vt323/v18/pxiKyp0ihIEF2isfFJU.woff2 → 200 (1ms, 17936B)
[2026-03-28T22:38:34.194Z] GET https://fonts.gstatic.com/s/pressstart2p/v16/e3t4euO8T-267oIAQAu6jDQyK3nVivM.woff2 → 200 (1ms, 12512B)
